run_dir,timestamp,dataset,variant,motif_rand,motif_dim,seed,test_acc,test_macro_f1,best_val_epoch,total_epochs
20260607_014654_nci1_gcn,2026-06-07T01:47:20,nci1,gcn,False,0,0,0.6630170345306396,0.6617148256604312,43,94
20260607_014722_nci1_gcn,2026-06-07T01:47:54,nci1,gcn,False,0,1,0.6812652349472046,0.6809932633000941,63,114
20260607_014614_nci1_gcn,2026-06-07T01:46:52,nci1,gcn,False,0,42,0.6763990521430969,0.6763051305130513,84,135
20260607_020258_nci1_concat,2026-06-07T02:03:39,nci1,concat,False,3,0,0.7238442897796631,0.7234509569112065,95,146
20260607_020341_nci1_concat,2026-06-07T02:04:26,nci1,concat,False,3,1,0.7177615761756897,0.7172778594810001,108,159
20260607_020159_nci1_concat,2026-06-07T02:02:56,nci1,concat,False,3,42,0.7518247961997986,0.7516130752412947,196,200
20260607_020505_nci1_gate,2026-06-07T02:05:58,nci1,gate,False,3,0,0.6800486445426941,0.6800103019080732,108,159
20260607_020600_nci1_gate,2026-06-07T02:06:31,nci1,gate,False,3,1,0.698296844959259,0.6968900361015125,43,94
20260607_020428_nci1_gate,2026-06-07T02:05:03,nci1,gate,False,3,42,0.698296844959259,0.6973490427098674,51,102
20260607_020737_nci1_mix,2026-06-07T02:08:39,nci1,mix,False,3,0,0.6922141313552856,0.6912045732952226,191,200
20260607_020841_nci1_mix,2026-06-07T02:09:43,nci1,mix,False,3,1,0.687347948551178,0.6871029615421644,160,200
20260607_020633_nci1_mix,2026-06-07T02:07:36,nci1,mix,False,3,42,0.6922141313552856,0.6921115863435086,158,200
20260607_022117_nci1_rand_concat,2026-06-07T02:21:37,nci1,rand_concat,True,3,0,0.6532846689224243,0.6518372654653539,20,71
20260607_022139_nci1_rand_concat,2026-06-07T02:22:17,nci1,rand_concat,True,3,1,0.669099748134613,0.6665413870246085,85,136
20260607_022030_nci1_rand_concat,2026-06-07T02:21:15,nci1,rand_concat,True,3,42,0.6715328693389893,0.6710342987578928,110,161
20260607_014803_enzymes_gcn,2026-06-07T01:48:05,enzymes,gcn,False,0,0,0.21666666865348816,0.181424181574784,11,62
20260607_014807_enzymes_gcn,2026-06-07T01:48:12,enzymes,gcn,False,0,1,0.30000001192092896,0.2886791336791337,53,104
20260607_014756_enzymes_gcn,2026-06-07T01:48:01,enzymes,gcn,False,0,42,0.2750000059604645,0.24611243355951518,65,116
20260607_020950_enzymes_concat,2026-06-07T02:09:58,enzymes,concat,False,3,0,0.2916666567325592,0.2819086433758395,122,173
20260607_021000_enzymes_concat,2026-06-07T02:10:07,enzymes,concat,False,3,1,0.34166666865348816,0.3236825266237031,124,175
20260607_020945_enzymes_concat,2026-06-07T02:09:49,enzymes,concat,False,3,42,0.30000001192092896,0.2853065616832987,39,90
20260607_021016_enzymes_gate,2026-06-07T02:10:23,enzymes,gate,False,3,0,0.32499998807907104,0.26993049799836405,71,122
20260607_021025_enzymes_gate,2026-06-07T02:10:30,enzymes,gate,False,3,1,0.3166666626930237,0.2648194345450226,61,112
20260607_021009_enzymes_gate,2026-06-07T02:10:14,enzymes,gate,False,3,42,0.28333333134651184,0.284069298962916,49,100
20260607_021040_enzymes_mix,2026-06-07T02:10:44,enzymes,mix,False,3,0,0.3083333373069763,0.29078132797644995,29,80
20260607_021046_enzymes_mix,2026-06-07T02:10:54,enzymes,mix,False,3,1,0.3083333373069763,0.28785585138481345,130,181
20260607_021032_enzymes_mix,2026-06-07T02:10:38,enzymes,mix,False,3,42,0.24166665971279144,0.220591968213084,73,124
20260607_022224_enzymes_rand_concat,2026-06-07T02:22:29,enzymes,rand_concat,True,3,0,0.28333333134651184,0.2629494600520106,40,91
20260607_022230_enzymes_rand_concat,2026-06-07T02:22:34,enzymes,rand_concat,True,3,1,0.3333333432674408,0.3031977600943118,43,94
20260607_022219_enzymes_rand_concat,2026-06-07T02:22:23,enzymes,rand_concat,True,3,42,0.20000000298023224,0.19838828222116278,35,86
20260610_193118_cora_gin,2026-06-10T19:31:19,cora,gin,False,0,42,0.8030000329017639,0.7982152055757527,19,70
